course_id,person_id
3666,77294
370,21559
821,97834
4529,79389
7969,26255
850,41609
4584,72680
4884,11845
1463,69193
2358,18367
6914,85467
4492,60259
5828,85020
4855,65037
2556,63614
1681,86799
830,19450
980,10349
6720,79185
7544,600
1958,53307
4568,10269
4000,4335
4689,53606
6317,81397
7600,13714
3165,29548
5052,19134
4957,28696
101,42810
1127,26210
1931,8477
6334,81751
1469,51988
7408,20310
1313,32227
5967,67405
3965,47509
4184,45338
7810,31055
5278,86027
6884,63320
3921,62671
4109,8011
736,32596
8000,73031
145,31374
6309,37721
2607,15233
579,43909
5903,65326
5559,65516
1600,89947
3807,22383
1358,76858
485,2368
3809,6214
2521,67137
3426,69458
1587,95377
6453,49928
6812,97567
1986,44347
2927,84794
389,5289
2216,20488
7820,44174
6070,1868
7415,4461
2467,34070
3763,94865
1606,77310
7617,89077
4551,785
2940,52195
190,27710
1284,26520
2312,88089
6632,6452
2308,48720
6443,39010
7819,40916
7783,22011
3804,38650
6921,97860
1181,51655
2553,75319
1756,96852
431,66618
833,76986
3160,7996
927,33988
3340,95297
780,89403
2657,13791
3500,4654
5151,14901
3275,28887
3997,34507
7223,103
7879,99411
6880,9563
1829,65058
4660,46340
3294,85503
1258,17728
2366,92058
6929,42636
3249,33301
5851,96761
2382,73343
1259,92262
7124,91372
4705,48742
5916,7012
7756,26580
4649,55980
4489,5518
7884,37877
4641,31953
2208,34502
4182,63684
2118,277
209,96353
4065,84976
4179,62632
689,27757
7498,60472
828,1528
5632,75146
4450,32358
6257,55950
581,116
5168,38236
2077,55337
1800,4290
7558,70322
4482,92619
217,38500
3608,79031
2562,22548
5966,81034
2095,23082
2047,95472
3689,81090
1824,22030
4559,80946
2992,18345
643,59438
2410,14957
1511,75463
2807,29145
7221,8270
8003,57732
2283,29899
5395,42722
8063,15904
2578,9845
3806,53732
4534,79546
4214,73714
2329,18940
6711,97753
7716,15796
7064,52794
5789,36610
7288,68717
7119,34007
125,24924
4685,7284
6690,18029
7673,16099
7563,82693
5914,51773
6452,83879
844,91750
4087,26024
1210,64746
6072,65164
3076,79119
162,95328
945,14490
5802,1732
6318,77648
4335,22339
7672,31308
6494,92399
5501,84973
1323,52730
2688,81639
6996,2651
1874,30387
2147,25069
1725,30264
1251,47377
5641,61571
5151,90983
3370,84827
5221,7240
5662,29614
5333,79885
5753,29732
2830,19814
6971,30298
4387,61725
3260,12228
2928,87111
6734,6973
5663,55853
2941,20584
6912,87031
6885,726
6745,86359
6325,5233
6297,3939
332,69859
6295,860
5717,30425
524,82861
7351,3350
5717,59472
5365,172
3843,67115
4958,53970
6665,5274
4125,47553
5019,9334
4105,91409
4991,7286
2596,52198
4588,58574
4594,75358
3172,21806
1566,67144
4775,58400
4816,24466
1423,94385
908,68864
5507,28521
3517,87482
7417,42412
5292,53442
7232,95091
3209,63917
3521,42312
2406,71672
4640,90413
5519,91513
4073,34157
7768,763
6401,16316
87,36793
317,87994
7888,27660
3674,68568
2353,57701
7205,15552
3911,32294
1524,83483
1442,26518
1885,78766
5396,932
2784,47307
1805,4878
373,15872
2742,18788
1312,17777
5376,91585
2442,53959
3997,18455
6273,59299
1885,75733
5891,63169
110,89771
1626,41507
6118,85025
847,25527
2182,26678
7743,96303
352,90058
4285,82843
2464,19194
6846,19941
2324,29013
4355,48149
4736,22177
696,64204
3974,48457
1315,53107
2860,16161
2721,89187
7281,29668
7899,15717
4290,79430
3037,50762
3942,42503
6738,44732
3670,79722
782,95654
3692,42328
7341,45934
7111,30196
3015,62465
4025,21977
4553,28512
6280,69114
5241,22470
4718,62322
171,43980
5989,20643
5095,80739
7600,4696
1900,19394
5949,8412
6196,27537
12,52968
2411,80636
5913,24216
725,77750
3124,46543
5552,79113
2734,32802
2972,95198
5485,71475
1381,76334
1415,81580
4136,23097
5398,2832
7771,31531
5670,70474
5652,10296
5440,12857
1607,34983
5105,68221
4948,28610
1894,68224
7858,14911
7317,95282
2133,15781
1372,98098
5303,31992
254,81898
4910,83968
6434,33313
4006,82249
4520,9100
3107,90296
5830,21306
1051,67131
5190,76788
5769,57247
5323,23195
3832,37746
1037,49705
7817,24305
6010,33924
3767,13185
7952,76400
502,26915
3843,97130
524,17814
2114,49285
7573,89586
6289,13310
4359,43275
5002,21275
2048,51671
868,33839
2,90321
5975,63889
7242,6253
3478,26264
6137,91012
7816,99143
6964,51571
7563,81701
4505,11020
1336,45958
849,9653
6403,46808
4149,3279
399,83726
803,94921
2066,168
882,50891
7761,1341
3224,73861
6469,67026
