id,item_name,people_id
0,iphone,97196
1,laptop,18289
2,iphone,97080
3,book,55302
4,chair,28657
5,pc,3478
6,book,85181
7,iphone,28893
8,phone,851
9,car,91506
10,phone,20379
11,pc,
12,laptop,49797
13,chair,45082
14,book,5695
15,iphone,16361
16,phone,38427
17,car,47400
18,book,9116
19,chair,37930
20,chair,13238
21,phone,83320
22,car,48520
23,laptop,34993
24,iphone,84939
25,chair,22431
26,book,21417
27,phone,83886
28,iphone,89733
29,laptop,7331
30,pc,41347
31,phone,27653
32,book,41245
33,pc,51856
34,iphone,34718
35,pc,73579
36,book,76622
37,phone,52350
38,laptop,18131
39,book,99061
40,chair,20033
41,iphone,89192
42,phone,50432
43,phone,61348
44,book,72512
45,car,89166
46,iphone,70381
47,car,84012
48,laptop,56985
49,pc,94646
50,iphone,65612
51,car,13947
52,car,83748
53,book,20032
54,laptop,70697
55,car,74
56,book,2552
57,chair,40306
58,pc,74364
59,chair,63699
60,car,99693
61,book,16828
62,iphone,72063
63,pc,79507
64,phone,
65,book,90422
66,pc,52296
67,iphone,57422
68,book,32493
69,pc,2757
70,book,77128
71,pc,92778
72,iphone,8834
73,chair,9287
74,book,87684
75,phone,17342
76,iphone,74847
77,book,61993
78,car,12363
79,chair,46438
80,phone,95561
81,chair,84696
82,chair,95448
83,laptop,14322
84,pc,70292
85,phone,24050
86,laptop,9880
87,phone,72132
88,chair,70855
89,car,12224
90,car,21798
91,phone,28016
92,car,7685
93,pc,51173
94,laptop,59638
95,laptop,95748
96,car,94163
97,phone,38890
98,pc,
99,book,7989
100,iphone,6572
101,book,69615
102,pc,66562
103,chair,8981
104,book,30828
105,phone,74668
106,pc,5209
107,book,86163
108,book,41467
109,laptop,93872
110,laptop,51876
111,pc,39321
112,phone,98548
113,chair,81416
114,book,
115,chair,66307
116,laptop,45745
117,chair,48434
118,laptop,71200
119,iphone,85717
120,book,72692
121,laptop,13577
122,pc,14029
123,iphone,35697
124,laptop,94058
125,laptop,83130
126,car,64032
127,laptop,6658
128,chair,36265
129,chair,17146
130,iphone,
131,pc,72309
132,iphone,1267
133,chair,90573
134,pc,48393
135,book,56333
136,pc,47795
137,car,
138,chair,27535
139,iphone,13473
140,laptop,53264
141,book,31029
142,car,23206
143,phone,96542
144,laptop,53964
145,car,96345
146,car,20866
147,car,50140
148,car,61694
149,pc,60332
150,laptop,29831
151,pc,25313
152,phone,9099
153,car,84080
154,book,70282
155,laptop,15118
156,laptop,34795
157,chair,56959
158,laptop,41114
159,phone,67033
160,chair,75574
161,pc,92901
162,phone,70575
163,iphone,97248
164,iphone,47739
165,phone,87062
166,laptop,86951
167,car,39363
168,book,53528
169,laptop,38752
170,book,55108
171,iphone,88777
172,iphone,80676
173,book,71819
174,car,37606
175,pc,76019
176,book,60946
177,phone,28010
178,book,96463
179,pc,37196
180,book,81167
181,laptop,98453
182,pc,29444
183,car,3201
184,chair,62277
185,book,9545
186,phone,82544
187,book,91272
188,phone,31979
189,pc,726
190,car,13970
191,car,23053
192,car,
193,book,73060
194,pc,15906
195,phone,60901
196,iphone,73259
197,book,98992
198,phone,94276
199,book,71810
200,phone,97472
201,car,33972
202,car,83579
203,laptop,68327
204,phone,35992
205,phone,37450
206,pc,41904
207,book,19769
208,pc,20028
209,iphone,54377
210,phone,61069
211,phone,55069
212,phone,76556
213,iphone,75456
214,phone,46105
215,laptop,54921
216,book,71582
217,car,28906
218,phone,57125
219,phone,44057
220,iphone,52994
221,iphone,61261
222,pc,
223,book,51645
224,book,3552
225,chair,17786
226,car,6590
227,laptop,27742
228,phone,99775
229,phone,55255
230,laptop,61644
231,chair,6826
232,laptop,8993
233,car,
234,chair,32411
235,pc,81439
236,pc,62070
237,iphone,28569
238,phone,48351
239,pc,98032
240,iphone,21465
241,laptop,3365
242,laptop,49192
243,phone,25995
244,chair,82213
245,pc,39529
246,car,15866
247,car,
248,car,69827
249,phone,9038
250,book,1658
251,car,64251
252,chair,47472
253,iphone,60258
254,iphone,23086
255,iphone,85256
256,laptop,70539
257,car,57091
258,car,35179
259,laptop,11359
260,laptop,31963
261,car,79997
262,iphone,3761
263,phone,23834
264,phone,33862
265,laptop,78139
266,iphone,72848
267,chair,25042
268,chair,53271
269,phone,31499
270,iphone,93302
271,phone,2260
272,chair,53005
273,iphone,87026
274,book,72544
275,book,97771
276,book,92124
277,phone,32951
278,pc,25242
279,laptop,70236
280,car,25105
281,pc,36241
282,iphone,99641
283,book,13176
284,car,29816
285,laptop,1854
286,iphone,35954
287,chair,
288,book,16551
289,iphone,64340
290,chair,75243
291,laptop,57733
292,laptop,6734
293,laptop,62616
294,chair,52521
295,phone,82502
296,iphone,19555
297,car,39824
298,chair,
299,chair,54548
300,book,81057
301,pc,49856
302,phone,38974
303,car,56207
304,laptop,7894
305,book,
306,chair,27235
307,iphone,86563
308,chair,22782
309,book,350
310,phone,77832
311,phone,30340
312,laptop,92141
313,car,90096
314,pc,81927
315,book,25928
316,phone,29466
317,iphone,34816
318,car,7816
319,pc,77993
320,iphone,37828
321,phone,90266
322,laptop,35683
323,book,57377
324,chair,56626
325,iphone,32816
326,chair,88381
327,car,76955
328,chair,
329,iphone,75529
330,chair,22962
331,phone,57963
332,laptop,76720
333,phone,64451
334,chair,53523
335,laptop,13710
336,car,53955
337,iphone,86846
338,phone,72102
339,chair,41224
340,laptop,52976
341,car,150
342,iphone,60552
343,phone,67952
344,laptop,65338
345,iphone,6764
346,pc,17172
347,laptop,91521
348,phone,82578
349,book,93032
350,pc,1792
351,book,29451
352,car,60482
353,chair,20181
354,phone,38254
355,book,54459
356,car,61894
357,pc,18958
358,phone,78561
359,book,17892
360,car,54387
361,laptop,66550
362,laptop,37072
363,iphone,76931
364,book,
365,phone,58529
366,book,43573
367,book,49441
368,phone,24727
369,iphone,50196
370,pc,53841
371,chair,61993
372,iphone,49968
373,phone,
374,car,19936
375,phone,
376,pc,77356
377,laptop,57711
378,chair,59890
379,chair,53736
380,car,20232
381,chair,34737
382,laptop,52098
383,iphone,43065
384,car,69942
385,phone,
386,iphone,99536
387,phone,4705
388,book,82727
389,iphone,29817
390,iphone,12903
391,car,13173
392,phone,39251
393,chair,7355
394,laptop,56450
395,pc,54008
396,book,23600
397,pc,79887
398,car,89539
399,pc,76435
400,pc,83611
401,laptop,87404
402,chair,60981
403,laptop,20706
404,chair,45293
405,book,55615
406,iphone,39599
407,pc,
408,car,31091
409,phone,75341
410,laptop,
411,laptop,86275
412,phone,74177
413,car,97605
414,chair,97671
415,phone,37512
416,car,79569
417,car,83442
418,pc,88835
419,car,86400
420,iphone,82345
421,chair,84717
422,chair,57779
423,chair,95991
424,pc,38680
425,laptop,23021
426,pc,70701
427,laptop,35720
428,car,63156
429,car,44396
430,car,9869
431,pc,29571
432,car,88395
433,phone,
434,car,11836
435,car,34663
436,book,48311
437,iphone,34362
438,book,83695
439,laptop,30647
440,phone,73584
441,laptop,29015
442,iphone,60852
443,iphone,53516
444,chair,4877
445,laptop,
446,chair,70457
447,pc,48629
448,iphone,91289
449,book,97290
450,iphone,54379
451,iphone,64139
452,book,36666
453,chair,28477
454,phone,30947
455,car,89873
456,laptop,84518
457,laptop,36160
458,pc,
459,car,12015
460,iphone,83819
461,book,
462,chair,31925
463,pc,26896
464,chair,72641
465,pc,30539
466,laptop,78116
467,chair,18964
468,pc,22871
469,chair,3379
470,pc,31186
471,book,22838
472,laptop,97218
473,phone,97735
474,chair,47453
475,book,59245
476,book,80623
477,chair,86363
478,book,84323
479,chair,62781
480,car,89928
481,chair,58138
482,chair,42219
483,book,16540
484,laptop,76724
485,book,49925
486,book,59469
487,book,12999
488,car,85814
489,iphone,72264
490,iphone,56370
491,phone,54239
492,laptop,52262
493,phone,40966
494,phone,33408
495,laptop,
496,iphone,8799
497,chair,12219
498,phone,96835
499,laptop,72924
500,chair,73608
501,book,16021
502,phone,87207
503,car,94510
504,chair,
505,book,13579
506,book,20280
507,iphone,14184
508,laptop,48176
509,chair,75248
510,pc,73526
511,car,80422
512,iphone,3441
513,book,90894
514,laptop,35818
515,iphone,44541
516,laptop,18776
517,book,9120
518,pc,4018
519,chair,28197
520,phone,44681
521,pc,94581
522,laptop,74395
523,book,6895
524,pc,80981
525,chair,35665
526,phone,63656
527,book,35804
528,pc,14918
529,laptop,37125
530,iphone,63783
531,book,5952
532,pc,78554
533,chair,39507
534,pc,33491
535,laptop,1013
536,phone,23028
537,pc,92231
538,pc,87562
539,car,52044
540,car,57176
541,chair,10205
542,car,56267
543,book,83904
544,phone,53088
545,chair,
546,pc,81018
547,phone,47428
548,chair,13875
549,pc,52487
550,book,40668
551,iphone,43655
552,car,66910
553,iphone,66840
554,pc,45793
555,laptop,84599
556,car,13474
557,pc,22740
558,book,99503
559,iphone,82306
560,phone,73889
561,car,89277
562,book,81857
563,laptop,82210
564,laptop,8950
565,phone,39691
566,car,7362
567,laptop,40685
568,phone,7456
569,laptop,10057
570,iphone,11835
571,book,50394
572,phone,96851
573,chair,74928
574,iphone,79299
575,phone,8109
576,phone,45015
577,iphone,84689
578,pc,92749
579,phone,
580,book,20807
581,laptop,37079
582,phone,44350
583,iphone,82691
584,iphone,43213
585,chair,50667
586,laptop,86057
587,book,43694
588,chair,18537
589,laptop,85990
590,iphone,16901
591,book,11104
592,laptop,84343
593,car,16750
594,iphone,96832
595,iphone,12249
596,iphone,66648
597,laptop,40483
598,pc,
599,laptop,63736
600,pc,18030
601,pc,13256
602,book,96815
603,book,44140
604,car,78282
605,phone,23703
606,car,81885
607,car,94526
608,phone,47749
609,iphone,58222
610,book,98112
611,car,69993
612,pc,61474
613,car,88907
614,book,
615,phone,50052
616,book,21241
617,car,79254
618,pc,6839
619,iphone,48655
620,book,93244
621,car,16341
622,laptop,21012
623,laptop,67286
624,pc,12021
625,pc,45820
626,chair,51964
627,book,50615
628,chair,3694
629,laptop,93677
630,iphone,19142
631,pc,61925
632,iphone,99462
633,iphone,80654
634,chair,2490
635,laptop,19597
636,book,79807
637,book,37762
638,pc,6258
639,pc,81633
640,phone,65513
641,book,82831
642,book,94181
643,pc,205
644,book,74798
645,phone,87584
646,chair,47265
647,chair,
648,book,66535
649,book,61621
650,chair,48929
651,laptop,46805
652,car,31604
653,iphone,13587
654,car,99179
655,laptop,46176
656,book,84252
657,pc,89742
658,phone,
659,phone,17675
660,chair,59988
661,chair,5741
662,car,5492
663,laptop,67552
664,phone,
665,book,4799
666,car,37501
667,laptop,6265
668,car,35811
669,chair,57272
670,phone,50678
671,laptop,
672,phone,48148
673,car,10828
674,iphone,56440
675,book,
676,pc,42101
677,chair,86628
678,laptop,78986
679,iphone,90408
680,phone,5551
681,iphone,46210
682,book,
683,laptop,7518
684,chair,53242
685,laptop,98290
686,iphone,4081
687,pc,88878
688,car,16545
689,chair,84562
690,laptop,74349
691,chair,89006
692,phone,48760
693,phone,75225
694,pc,52171
695,laptop,32717
696,chair,24385
697,phone,73619
698,chair,34116
699,iphone,80199
700,laptop,64382
701,pc,9706
702,phone,93502
703,phone,
704,car,41889
705,iphone,8511
706,book,39315
707,car,93003
708,iphone,47381
709,book,26342
710,car,64752
711,chair,75009
712,laptop,72305
713,pc,11300
714,chair,93969
715,iphone,53843
716,car,75353
717,chair,41553
718,iphone,61057
719,iphone,16821
720,car,83859
721,book,16912
722,phone,7263
723,car,20056
724,laptop,42291
725,iphone,68012
726,laptop,32847
727,pc,72199
728,laptop,39691
729,book,65873
730,iphone,76106
731,pc,81851
732,iphone,44252
733,car,5399
734,car,10646
735,chair,75598
736,laptop,74991
737,phone,3969
738,phone,71509
739,laptop,39596
740,phone,89783
741,phone,9564
742,iphone,57619
743,phone,26741
744,laptop,40970
745,car,96233
746,car,52260
747,pc,67499
748,book,31685
749,phone,58929
750,pc,6632
751,laptop,80658
752,phone,20932
753,car,75718
754,iphone,20885
755,phone,
756,phone,40441
757,phone,51543
758,book,31552
759,pc,6377
760,chair,78317
761,car,61680
762,laptop,14089
763,phone,34664
764,iphone,52855
765,laptop,6705
766,book,47516
767,book,50639
768,book,72070
769,laptop,81689
770,iphone,16864
771,chair,44444
772,book,98954
773,pc,66731
774,phone,5938
775,chair,43652
776,car,59898
777,pc,67568
778,pc,80356
779,laptop,80805
780,iphone,77820
781,laptop,66809
782,book,73783
783,laptop,2180
784,laptop,14366
785,phone,95069
786,car,3492
787,book,85929
788,car,
789,book,94555
