id,Title
0,Machine Learning Specialization
1,Introduction to Data Science Specialization
2,Data Science Fundamentals with Python and SQL Specialization
3,Key Technologies for Business Specialization
4,Deep Learning Specialization
5,IBM & Darden Digital Strategy Specialization
6,IBM AI Foundations for Business Specialization
7,Data Analysis and Visualization Foundations Specialization
8,Applied Data Science Specialization
9,Data Engineering Foundations Specialization
10,IT Fundamentals for Cybersecurity Specialization
11,Applied Software Engineering Fundamentals Specialization
12,"DevOps, Cloud, and Agile Foundations Specialization"
13,Cloud Application Development Foundations Specialization
14,Python for Everybody Specialization
15,Information Technology (IT) and Cloud Fundamentals Specialization
16,"BI Foundations with SQL, ETL and Data Warehousing Specialization"
17,Natural Language Processing Specialization
18,Business Foundations Specialization
19,Meta React Native Specialization
20,Mathematics for Machine Learning and Data Science Specialization
21,Introduction to Finance and Accounting Specialization
22,AI Foundations for Everyone Specialization
23,Finance & Quantitative Modeling for Analysts Specialization
24,Machine Learning Engineering for Production (MLOps) Specialization
25,Business and Financial Modeling Specialization
26,Business Analytics Specialization
27,Excel Skills for Business Specialization
28,Learn SQL Basics for Data Science Specialization
29,The Materiality of ESG Factors Specialization
30,AI For Business Specialization
31,Digital Product Management Specialization
32,Leading the Modern Day Business Specialization
33,Graphic Design Specialization
34,Security Analyst Fundamentals Specialization
35,Improve Your English Communication Skills Specialization
36,Entrepreneurship Specialization
37,Foundations of Positive Psychology  Specialization
38,Data Science Specialization
39,Supply Chain Management Specialization
40,Fintech: Foundations & Applications of Financial Technology Specialization
41,Microsoft 365 Fundamentals Specialization
42,Search Engine Optimization (SEO) Specialization
43,AI Product Management Specialization
44,Introduction to Programming with Python and Java Specialization
45,Construction Management Specialization
46,IBM Introduction to Machine Learning Specialization
47,Data Analysis and Presentation Skills: the PwC Approach Specialization
48,AWS Fundamentals Specialization
49,Data Science: Foundations using R Specialization
50,Python 3 Programming Specialization
51,Reinforcement Learning Specialization
52,Accelerated Computer Science Fundamentals Specialization
53,Digital Marketing Specialization
54,DevOps on AWS Specialization
55,Generative Adversarial Networks (GANs) Specialization
56,Data Visualization with Tableau Specialization
57,Certified in Cybersecurity Specialization
58,Business Strategy Specialization
59,Applied Data Science with Python Specialization
60,Human Resource Management: HR for People Managers Specialization
61,Achieving Personal and Professional Success Specialization
62,Regulatory Compliance Specialization
63,"TESOL Certificate, Part 1: Teach English Now! Specialization"
64,Financial Engineering and Risk Management Specialization
65,UI / UX Design Specialization
66,"Product Ideation, Design, and Management Specialization"
67,Financial Analysis - Skills for Success Specialization
68,Creative Writing Specialization
69,Data Structures and Algorithms Specialization
70,Software Product Management Specialization
71,Foundations of Management Specialization
72,Genomic Data Science Specialization
73,Methods and Statistics in Social Sciences Specialization
74,"NoSQL, Big Data, and Spark Foundations Specialization"
75,Think like a CFO Specialization
76,TensorFlow: Advanced Techniques Specialization
77,"Data Engineering, Big Data, and Machine Learning on GCP Specialization"
78,Mathematics for Machine Learning Specialization
79,Modern and Contemporary Art and Design Specialization
80,Agile Development Specialization
81,Career Success Specialization
82,U.S. Federal Taxation Specialization
83,The Business of Music Production Specialization
84,The Business of Health Care Specialization
85,Practical Data Science on the AWS Cloud Specialization
86,Risk Management Specialization
87,Music Production Specialization
88,Google Cloud Database Engineer Specialization
89,Architecting with Google Compute Engine Specialization
90,Global Procurement and Sourcing Specialization
91,Entrepreneurship: Growing Your Business Specialization
92,Six Sigma Yellow Belt Specialization
93,The DIY Musician Specialization
94,Algorithms Specialization
95,"Influencing: Storytelling, Change Management and Governance Specialization"
96,Applied Data Science with R Specialization
97,Geographic Information Systems  (GIS) Specialization
98,Decentralized Finance (DeFi): The Future of Finance Specialization
99,Project Management & Other Tools for Career Development Specialization
100,Project Management Principles and Practices Specialization
101,Java Programming and Software Engineering Fundamentals Specialization
102,MATLAB Programming for Engineers and Scientists Specialization
103,Design Thinking Specialization
104,Architecting with Google Kubernetes Engine Specialization
105,Security in Google Cloud Specialization
106,Leading People and Teams Specialization
107,Coding for Everyone: C and C++ Specialization
108,Developing Applications with Google Cloud Specialization
109,Real-World Product Management Specialization
110,Pricing Strategy Optimization Specialization
111,Networking in Google Cloud Specialization
112,Academic English: Writing Specialization
113,Introduction to Cyber Security Specialization
114,Business Data Management and Communication Specialization
115,Intellectual Property Law Specialization
116,The Singer Songwriter Specialization
117,AI for Medicine Specialization
118,Mergers and Acquisitions  Specialization
119,Dynamic Public Speaking Specialization
120,Supply Chain Analytics Specialization
121,Six Sigma Black Belt Specialization
122,Strategic Leadership and Management Specialization
123,Music Education for Teachers Specialization
124,Project Management Specialization
125,User Experience Research and Design Specialization
126,Good with Words: Writing and Editing Specialization
127,Drug Development Product Management Specialization
128,Excel Skills for Data Analytics and Visualization Specialization
129,"Food Sustainability, Mindful Eating, and Healthy Cooking Specialization"
130,Web Design for Everybody: Basics of Web Development & Coding Specialization
131,Microsoft Azure Fundamentals AZ-900 Exam Prep Specialization
132,Business Value and Project Management Specialization
133,Clinical Trials Operations Specialization
134,Investment Management with Python and Machine Learning Specialization
135,Data Analysis with R Specialization
136,Excel to MySQL: Analytic Techniques for Business Specialization
137,Bayesian Statistics Specialization
138,Data Science Foundations: Data Structures and Algorithms Specialization
139,Biostatistics in Public Health  Specialization
140,Algorithms for Battery Management Systems Specialization
141,"Effective Communication: Writing, Design, and Presentation Specialization"
142,Financial Management Specialization
143,Game Design: Art and Concepts Specialization
144,Neuroscience and Neuroimaging Specialization
145,Electronic Music Production Specialization
146,Branding: The Creative Journey Specialization
147,Six Sigma Green Belt Specialization
148,Excel/VBA for Creative Problem Solving Specialization
149,Business Statistics and Analysis Specialization
150,People and Soft Skills for Professional and Personal Success Specialization
151,"Songwriting: Writing, Arranging, and Producing Music Specialization"
152,Culture-Driven Team Building Specialization
153,Investment Management Specialization
154,Object Oriented Programming in Java Specialization
155,Fundamentals of Accounting  Specialization
156,Databases for Data Scientists Specialization
157,PostgreSQL for Everybody Specialization
158,Medical Terminology Specialization
159,Advanced Data Science with IBM Specialization
160,Probabilistic Graphical Models  Specialization
161,FPGA Design for Embedded Systems Specialization
162,School Health for Children and Adolescents Specialization
163,Statistical Analysis with R for Public Health Specialization
164,Music Business  Specialization
165,Healthcare IT Support Specialization
166,Practical Guide to Trading Specialization
167,Introduction to Logic and Critical Thinking Specialization
168,Blockchain Specialization
169,Software Design and Architecture Specialization
170,Climate Change and Sustainable Investing Specialization
171,Functional Programming in Scala Specialization
172,Microsoft Azure Data Fundamentals DP-900 Exam Prep Specialization
173,Financial Technology (Fintech) Innovations Specialization
